first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
62926,62926,JJ Easystore Steel Toothbrush Caddy Lg W,http://www.lakeland.co.uk/62926/,944,238319064,238319064,"Joseph Joseph EasyStore™ Toothbrush Caddy, Large, Stainless Steel",http://www.johnlewis.com/joseph-joseph-easystore-toothbrush-caddy-large-stainless-steel/p4839483,1261,1,0,82
62925,62925,JJ EasyStore Steel Toothbrush Caddy Whi,http://www.lakeland.co.uk/62925/,944,238319065,238319065,"Joseph Joseph EasyStore™ Toothbrush Holder, Stainless Steel",http://www.johnlewis.com/joseph-joseph-easystore-toothbrush-holder-stainless-steel/p4839484,1261,1,0,78
62767,62767,Williamson Earl Grey Tea,http://www.lakeland.co.uk/62767/,944,77021004,,"Williamson Teas Elephant Tea Caddy & 40 Earl Grey Tea Bags, 100g",http://www.johnlewis.com/williamson-teas-elephant-tea-caddy-40-earl-grey-tea-bags-100g/p3128924,1261,1,1,
62745,62745,Ooni Karu Cover,http://www.lakeland.co.uk/62745/,944,238422389,238422389,"Ooni Karu Pizza Oven Carry Cover, Black",http://www.johnlewis.com/ooni-karu-pizza-oven-carry-cover-black/p4894851,1261,1,0,81
62716,62716,Aladdin Blue Thermavac Leak Lock 0.25l,http://www.lakeland.co.uk/62716/,944,237461980,237461980,"Aladdin Leak-Lock Travel Cup, 250ml, Blue",https://www.johnlewis.com/aladdin-leak-lock-travel-cup-250ml/p3523060,1261,1,1,94
62558,62558,LSA Canopy High Tumblers pk4,http://www.lakeland.co.uk/62558/,944,237856759,237856759,"LSA International Canopy Recycled Glass Tumblers, Set of 4, 350ml, Clear",http://www.johnlewis.com/lsa-international-canopy-recycled-glass-tumblers-set-of-4-350ml-clear/p3847054,1261,1,0,
62557,62557,LSA Canopy project Carafe,http://www.lakeland.co.uk/62557/,944,237856772,237856772,"LSA International Canopy Recycled Glass Corked Carafe, 1.3L, Clear",http://www.johnlewis.com/lsa-international-canopy-recycled-glass-corked-carafe-1-3l-clear/p3847052,1261,1,0,
62556,62556,LSA Gio Coloured Glasses Green/Blue,http://www.lakeland.co.uk/62556/,944,238403525,238403525,"LSA International Gio Gem Tumbler Glasses, Set of 4, 310ml, Jade",https://www.johnlewis.com/lsa-international-gio-gem-tumbler-glasses/p4809764,1261,1,1,
62520,62520,Ooni Koda Cover,http://www.lakeland.co.uk/62520/,944,238065871,238065871,"Ooni Koda Pizza Oven Carry Cover, Black",http://www.johnlewis.com/ooni-koda-pizza-oven-carry-cover-black/p4069041,1261,1,0,81
62481,62481,Lavazza Rossa Compostable Capsules,http://www.lakeland.co.uk/62481/,944,238316223,238316223,"Lavazza Qualita Rossa A Modo Mio Espresso Eco Capsules, Pack of 16",http://www.johnlewis.com/lavazza-qualita-rossa-a-modo-mio-espresso-eco-capsules-pack-of-16/p4801134,1261,1,0,70
62479,62479,Lavazza Passionale Compostable Capsules,http://www.lakeland.co.uk/62479/,944,238316066,238316066,"Lavazza Passionale A Modo Mio Espresso Eco Capsules, Pack of 16",http://www.johnlewis.com/lavazza-passionale-a-modo-mio-espresso-eco-capsules-pack-of-16/p4799080,1261,1,0,71
62478,62478,Lavazza Dek Cremoso Decaf Compostable,http://www.lakeland.co.uk/62478/,944,238316221,238316221,"Lavazza Dek Cremoso A Modo Mio Espresso Eco Capsules, Pack of 16",http://www.johnlewis.com/lavazza-dek-cremoso-a-modo-mio-espresso-eco-capsules-pack-of-16/p4799039,1261,1,0,72
62394,62394,Denby Studio Grey 4pc Rice Bowl Set,http://www.lakeland.co.uk/62394/,944,237764363,237764363,"Denby Studio Grey Rice Bowls,13cm, Set of 4",http://www.johnlewis.com/denby-studio-grey-rice-bowls-13cm-set-of-4/p3833434,1261,1,0,
62265,62265,JJ Undershelf Drawer,http://www.lakeland.co.uk/62265/,944,238105645,238105645,Joseph Joseph CupboardStore™ Undershelf Drawer,http://www.johnlewis.com/joseph-joseph-cupboardstore-undershelf-drawer/p4107106,1261,1,0,77
62264,62264,JJ Pan Lid Holders x 4,http://www.lakeland.co.uk/62264/,944,238105636,238105636,"Joseph Joseph CupboardStore™ Pan Lid Holder, Set of 4",http://www.johnlewis.com/joseph-joseph-cupboardstore-pan-lid-holder-set-of-4/p4107109,1261,1,0,78
62263,62263,JJ Expandable Organiser,http://www.lakeland.co.uk/62263/,944,238105637,238105637,Joseph Joseph CupboardStore™ Expandable Tiered Kitchen Organiser,http://www.johnlewis.com/joseph-joseph-cupboardstore-expandable-tiered-kitchen-organiser/p4107108,1261,1,0,
62262,62262,JJ Undershelf Spice Rack,http://www.lakeland.co.uk/62262/,944,238105640,238105640,Joseph Joseph CupboardStore™ Undershelf Spice Rack,http://www.johnlewis.com/joseph-joseph-cupboardstore-undershelf-spice-rack/p4107107,1261,1,0,81
62261,62261,JJ Compact Organiser Drawer,http://www.lakeland.co.uk/62261/,944,238105652,238105652,Joseph Joseph CupboardStore™ Tiered Kitchen Organiser with Drawer,http://www.johnlewis.com/joseph-joseph-cupboardstore-tiered-kitchen-organiser-with-drawer/p4107105,1261,1,0,76
62231,62231,Aladdin Aveo Water Bottle 0.35 Blue,http://www.lakeland.co.uk/62231/,944,84522107,237072535,"Aladdin Aveo Water Bottle, 350ml, Blue/Clear",http://www.johnlewis.com/aladdin-aveo-water-bottle-350ml-blue-clear/p3289982,1261,1,0,
62157,62157,Ooni Cooking With Fire Book,http://www.lakeland.co.uk/62157/,944,238077864,238077864,Ooni Cooking With Fire Pizza Oven Cook Book,http://www.johnlewis.com/ooni-cooking-with-fire-pizza-oven-cook-book/p4083562,1261,1,0,93
62044,62044,R Cup Coffee Cup,http://www.lakeland.co.uk/62044/,944,237561456,237561456,"ashortwalk rCup Recyclable Reusable Leak-Proof Cup, 340ml, Black/Teal",http://www.johnlewis.com/ashortwalk-rcup-recyclable-reusable-leak-proof-cup-340ml/p5071380,1261,1,0,
62015,62015,LSA GIO tumbler line set of 4,http://www.lakeland.co.uk/62015/,944,238382611,238382611,"LSA International Gio Tealight Holders, Set of 4",http://www.johnlewis.com/lsa-international-gio-tealight-holders-set-of-4/p4765102,1261,1,0,
61840,61840,Wine Stack Rack,http://www.lakeland.co.uk/61840/,944,84842115,,"Hahn Stack Rack Wine Rack, 12 Bottle",http://www.johnlewis.com/hahn-stack-rack-wine-rack-12-bottle/p2745120,1261,1,1,
