first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
61818,61818,JJ Push & Tear Kitchen Roll Holder Grey,http://www.lakeland.co.uk/61818/,944,331006416463,331006416463,Joseph Joseph - Grey 'Push and Tear™' Easy-Tear Kitchen Roll Holder,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_331006416463_-1,1269,1,0,71
61799,61799,beurer Soft Cosy Heat Pad,http://www.lakeland.co.uk/61799/,944,24121530,24121530,Beurer - Hot Water Bottle 'Luxury' Heat Pad HK44-27506 red,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_325020906103_-1,1269,1,1,72
61768,61768,Crockpot express multicooker,http://www.lakeland.co.uk/61768/,944,325003937260,325003937260,Crock-Pot - 'Express' 5.6L Multi-Cooker CSC051,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_325003937260_-1,1269,1,0,77
61393,61393,Morphy Richards Compact Soup Maker,http://www.lakeland.co.uk/61393/,944,3250039318-30807534,3250039318,Morphy Richards - Silver compact soup maker 501021 - Colour_silver,http://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_325003931897_-1,1269,1,1,88
6113,6113,OXO Good Grips Vegetable Brush,http://www.lakeland.co.uk/6113/,944,3310169479-876039,3310169479,Good Grips vegetable brush - Colour_black,http://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_331016947960MISC_-1,1269,1,1,
60147,60147,Charbonnel Drinking Chocolate,http://www.lakeland.co.uk/60147/,944,3111005239-11610538,3111005239,Chocolate drink in a tin,http://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_311100523999_-1,1269,1,1,85
53217,53217,Tefal Freemove Air Cordless Iron,http://www.lakeland.co.uk/53217/,944,24162026,24162026,Tefal - Freemove air cordless steam iron FV6520G0 white,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_325005906880_-1,1269,1,0,81
53215,53215,Tefal Maestro Steam Iron,http://www.lakeland.co.uk/53215/,944,325005440842,325005440842,Tefal - Blue 'Maestro' Steam Iron FV1847,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_325005440842_-1,1269,1,0,83
45908,45908,Barista & Co. Brew It Stick,http://www.lakeland.co.uk/45908/,944,3310071188-23625526,3310071188,Barista & Co - Brew It Stick Coffee Infuser - Colour_grey,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_3310071188631SZE_-1,1269,1,1,70
44728,44728,Joseph Joseph Index Graphite,http://www.lakeland.co.uk/44728/,944,20939533,20939533,Joseph Joseph - Set of 4 grey 'Index ' regular chopping boards grey,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_3310288201631SZE_-1,1269,1,0,
43632,43632,Joseph Joseph Cut and Carve Block,http://www.lakeland.co.uk/43632/,944,3310286488-15326526,3310286488,Cut and Carve Plus small chopping board in black - Colour_black,http://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_331028648860CHBR_-1,1269,1,1,80
