first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
62574,62574,Sodastream Spirit One Touch,http://www.lakeland.co.uk/62574/,944,10206381,,SODASTREAM Spirit One Touch Sparkling Water Maker - Black,https://www.currys.co.uk/gbuk/household-appliances/small-kitchen-appliances/food-and-drink-preparation/juicers-and-blenders/sodastream-spirit-one-touch-sparkling-water-maker-black-10206381-pdt.html,1270,1,0,83
62119,62119,KitchenAid filter coffee machine black,http://www.lakeland.co.uk/62119/,944,10163414,,KITCHENAID 5KCM1204BOB Filter Coffee Machine - Onyx Black,https://www.currys.co.uk/gbuk/household-appliances/small-kitchen-appliances/coffee-machines-and-accessories/coffee-machines/kitchenaid-5kcm1204bob-filter-coffee-machine-onyx-black-10163414-pdt.html,1270,1,0,
62117,62117,KitchenAid stand mixer matte black,http://www.lakeland.co.uk/62117/,944,10163455,,KITCHENAID Artisan 5KSM175PSBES Stand Mixer - Espresso,https://www.currys.co.uk/gbuk/household-appliances/small-kitchen-appliances/food-and-drink-preparation/food-mixers/kitchenaid-artisan-5ksm175psbes-stand-mixer-espresso-10163455-pdt.html,1270,1,0,75
61830,61830,Dualit coffee machine,http://www.lakeland.co.uk/61830/,944,10134477,141154,DUALIT D3IN1SS 3-in-1 Coffee Machine – Stainless Steel,https://www.currys.co.uk/gbuk/household-appliances/small-kitchen-appliances/coffee-machines-and-accessories/coffee-machines/dualit-d3in1ss-3-in-1-coffee-machine-stainless-steel-10134477-pdt.html,1270,1,0,79
61815,61815,JJ Flip Up Draining Board Grey,http://www.lakeland.co.uk/61815/,944,10196296,,JOSEPH JOSEPH Flip-Up Draining Board - Grey,https://www.currys.co.uk/gbuk/household-appliances/cookware/food-preparation-and-kitchen-accessories/joseph-joseph-flip-up-draining-board-grey-10196296-pdt.html,1270,1,0,92
61510,61510,Kitchenaid 156 Milkshake Stand Mixer,http://www.lakeland.co.uk/61510/,944,10199955,,KITCHENAID Artisan 5KSM125BLT Stand Mixer - Latte,https://www.currys.co.uk/gbuk/household-appliances/small-kitchen-appliances/food-and-drink-preparation/food-mixers/kitchenaid-artisan-5ksm125blt-stand-mixer-latte-10199955-pdt.html,1270,1,1,78
53217,53217,Tefal Freemove Air Cordless Iron,http://www.lakeland.co.uk/53217/,944,10162672,,TEFAL Freemove Air FV6520G0 Cordless Steam Iron - Blue & White,https://www.currys.co.uk/gbuk/home-appliances/ironing/irons/tefal-freemove-air-fv6520g0-cordless-steam-iron-blue-white-10162672-pdt.html,1270,1,0,
46284,46284,Shark Lift-Away Steam Mop,http://www.lakeland.co.uk/46284/,944,10209850,,SHARK S6005UK Floor Mop & Lift-Away Handheld Steam Cleaner - Grey & White,https://www.currys.co.uk/gbuk/home-appliances/floorcare/steam-cleaners/shark-s6005uk-floor-mop-lift-away-handheld-steam-cleaner-grey-white-10209850-pdt.html,1270,1,0,86
46241,46241,Shark Cordless Handheld Vacuum Cleaner,http://www.lakeland.co.uk/46241/,944,10183112,,SHARK WV200UK Handheld Vacuum Cleaner - Grey,https://www.currys.co.uk/gbuk/home-appliances/floorcare/vacuum-cleaners/shark-wv200uk-handheld-vacuum-cleaner-grey-10183112-pdt.html,1270,1,0,83
46239,46239,Bissell Crosswave Cordless,http://www.lakeland.co.uk/46239/,944,10198641,,BISSELL Crosswave 2582E Cordless Wet & Dry Vacuum Cleaner - Silver,https://www.currys.co.uk/gbuk/home-appliances/floorcare/surface-cleaners/bissell-crosswave-2582e-cordless-wet-dry-vacuum-cleaner-silver-10198641-pdt.html,1270,1,0,74
44728,44728,Joseph Joseph Index Graphite,http://www.lakeland.co.uk/44728/,944,10126262,,JOSEPH JOSEPH 60065 Index Chopping Board Set - Graphite,http://www.currys.co.uk/gbuk/household-appliances/cookware/food-preparation-and-kitchen-accessories/joseph-joseph-60065-index-chopping-board-set-graphite-10126262-pdt.html,1270,1,1,
43632,43632,Joseph Joseph Cut and Carve Block,http://www.lakeland.co.uk/43632/,944,21458782,,JOSEPH JOSEPH 60002 Cut & Carve Plus Chopping Board - Black,https://www.currys.co.uk/gbuk/household-appliances/cookware/food-preparation-and-kitchen-accessories/joseph-joseph-60002-cut-carve-plus-chopping-board-black-21458782-pdt.html,1270,1,0,85
43628,43628,Joseph Joseph Garlic Rocker Green,http://www.lakeland.co.uk/43628/,944,21949278,,JOSEPH JOSEPH Garlic Rocker - Green,https://www.currys.co.uk/gbuk/household-appliances/cookware/food-preparation-and-kitchen-accessories/joseph-joseph-garlic-rocker-green-21949278-pdt.html,1270,1,0,100
43623,43623,Joseph Joseph Chop 2 Pot green,http://www.lakeland.co.uk/43623/,944,21458777,,JOSEPH JOSEPH Chop2Pot Plus Small - Green,https://www.currys.co.uk/gbuk/household-appliances/cookware/food-preparation-and-kitchen-accessories/joseph-joseph-chop2pot-plus-small-green-21458777-pdt.html,1270,1,0,93
32082,32082,Colourworks Spoon Spatula,http://www.lakeland.co.uk/32082/,944,21931878,,COLOURWORKS Silicone Spoon Spatula - Green,https://www.currys.co.uk/gbuk/household-appliances/cookware/food-preparation-and-kitchen-accessories/colourworks-silicone-spoon-spatula-green-21931878-pdt.html,1270,1,1,84
31967,31967,Tefal Mini Pro Stainless Steel Fryer,http://www.lakeland.co.uk/31967/,944,10177159,,TEFAL FF220040 Mini Fryer - Stainless Steel,https://www.currys.co.uk/gbuk/household-appliances/small-kitchen-appliances/small-cooking-appliances/fryers/tefal-ff220040-mini-fryer-stainless-steel-10177159-pdt.html,1270,1,0,84
31957,31957,KitchenAid Artisan Stand Mixer Cream 175,http://www.lakeland.co.uk/31957/,944,10181293,,KITCHENAID Artisan 5KSM175PSBAC Stand Mixer - Almond Cream,https://www.currys.co.uk/gbuk/household-appliances/small-kitchen-appliances/food-and-drink-preparation/food-mixers/kitchenaid-artisan-5ksm175psbac-stand-mixer-almond-cream-10181293-pdt.html,1270,1,0,71
31931,31931,Kenwood Multipro Compact,http://www.lakeland.co.uk/31931/,944,10162593,,KENWOOD MultiPro Compact FDM300SS Food Processor - Black & Silver,https://www.currys.co.uk/gbuk/household-appliances/small-kitchen-appliances/food-and-drink-preparation/food-processors/kenwood-multipro-compact-fdm300ss-food-processor-black-silver-10162593-pdt.html,1270,1,0,
