first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
62574,62574,Sodastream Spirit One Touch,http://www.lakeland.co.uk/62574/,944,9343854-new,8719128112718,SodaStream Spirit One Touch Auto machine,https://www.argos.co.uk/product/9343854,1271,1,0,
62445,62445,JJ Bathroom Caddy Grey,http://www.lakeland.co.uk/62445/,944,8818919-new,5028420705133,Joseph Joseph Easycare Bathroom Caddy - White/ Grey,https://www.argos.co.uk/product/8818919,1271,1,1,
61830,61830,Dualit coffee machine,http://www.lakeland.co.uk/61830/,944,8709413-new,6197438444088,Dualit 84440 DCM2X Espresso Coffee Machine,https://www.argos.co.uk/product/8709413,1271,1,1,83
61799,61799,beurer Soft Cosy Heat Pad,http://www.lakeland.co.uk/61799/,944,7060139-new,4211125275068,Beurer Soft Cosy Heat Pad,https://www.argos.co.uk/product/7060139,1271,1,0,96
61768,61768,Crockpot express multicooker,http://www.lakeland.co.uk/61768/,944,8689076-new,5011773064330,Crockpot 5.6L Pressure Cooker - Stainless Steel,https://www.argos.co.uk/product/8689076,1271,1,1,
61393,61393,Morphy Richards Compact Soup Maker,http://www.lakeland.co.uk/61393/,944,8355111-new,5011832063038,Morphy Richards 501021 Compact Soup Maker - Stainless Steel,https://www.argos.co.uk/product/8355111,1271,1,0,83
53272,53272,BRABANTIA 50M TOPSPINNER ROTARY GREY,http://www.lakeland.co.uk/53272/,944,4118187,8710755310966,Brabantia 50m Rotary Liftomatic Dryer with Spear and Cover,https://www.argos.co.uk/product/4118187,1271,1,0,80
53217,53217,Tefal Freemove Air Cordless Iron,http://www.lakeland.co.uk/53217/,944,7196656,3121040064948,Tefal FV6520 Freemove Cordless Steam Iron,https://www.argos.co.uk/product/7196656,1271,1,0,74
53194,53194,Leifheit Pop Up Airer,http://www.lakeland.co.uk/53194/,944,9374500-new,4006501825001,Leifheit Lino Pop Up 140 Airer,https://www.argos.co.uk/product/9374500,1271,1,0,80
46299,46299,Blueair Blue Pure Rep Filter For 411,http://www.lakeland.co.uk/46299/,944,7047750-new,689122008141,Blueair Blue Pure 411 Particle & Carbon Filter,https://www.argos.co.uk/product/7047750,1271,1,0,90
46284,46284,Shark Lift-Away Steam Mop,http://www.lakeland.co.uk/46284/,944,7127333-new,622356235129,Shark Floor Mop & Lift-Away Handheld Steam Cleaner S6005UK,https://www.argos.co.uk/product/7127333,1271,1,0,86
46241,46241,Shark Cordless Handheld Vacuum Cleaner,http://www.lakeland.co.uk/46241/,944,8634746-new,622356226059,Shark WV200UK Pet Cordless Handheld Vacuum Cleaner,https://www.argos.co.uk/product/8634746,1271,1,0,90
46157,46157,Gtech Car Kit,http://www.lakeland.co.uk/46157/,944,6695608,5060060221925,Gtech Multi Car Accessory Kit,https://www.argos.co.uk/product/6695608,1271,1,0,
31967,31967,Tefal Mini Pro Stainless Steel Fryer,http://www.lakeland.co.uk/31967/,944,7199615,3045386374847,Tefal FF220040 Pro Mini Fryer - Stainless Steel,https://www.argos.co.uk/product/7199615,1271,1,0,94
31957,31957,KitchenAid Artisan Stand Mixer Cream 175,http://www.lakeland.co.uk/31957/,944,9170742-new,5413184120658,Kitchenaid 5KSM175PSBAC Artisan Stand Mixer,https://www.argos.co.uk/product/9170742,1271,1,0,
31931,31931,Kenwood Multipro Compact,http://www.lakeland.co.uk/31931/,944,8194860-new,5011423192765,Kenwood FDM302SS Food Processor,https://www.argos.co.uk/product/8194860,1271,1,1,
31922,31922,Kenwood Chef Pasta Roller,http://www.lakeland.co.uk/31922/,944,7230196-new,5011423176994,Kenwood KAX97OME Pasta Roller - Stainless Steel,https://www.argos.co.uk/product/8884596,1271,1,0,
31905,31905,Magimix Electric Slicer,http://www.lakeland.co.uk/31905/,944,5578355,5018399116511,Magimix Food Slicer 11651,https://www.argos.co.uk/product/8879790,1271,1,0,
26612,26612,World of Flavours S/S Pasta Machine,http://www.lakeland.co.uk/26612/,944,3384637-new,5028250160591,World of Flavours KC Deluxe Pasta Machine,https://www.argos.co.uk/product/3384637,1271,1,0,89
26436,26436,Sodastream My Only Bottle,http://www.lakeland.co.uk/26436/,944,3443279-new,8719128115313,SodaStream My Only 500ml Bottle,https://www.argos.co.uk/product/3443279,1271,1,0,88
26433,26433,Sodastream Spirit Megapack,http://www.lakeland.co.uk/26433/,944,7063789,8718692619463,SodaStream Spirit - Black,https://www.argos.co.uk/product/8358163,1271,1,1,80
73249,73249,ZeroWater Filter 2 Pack,http://www.lakeland.co.uk/73249/,944,7965289-new,188781000539,Zerowater Replacement Water Filters - 2 Pack,http://www.argos.co.uk/product/7965289,1271,1,1,
73247,73247,7 Cup ZeroWater Filter Jug,http://www.lakeland.co.uk/73247/,944,7966415-new,188781000614,Zerowater 7 Cup Water Filter Jug - Blue,http://www.argos.co.uk/product/7966415,1271,1,1,89
73185,73185,Oxo Good Grips 1.0L Square Pop,http://www.lakeland.co.uk/73185/,944,6049924,719812073941,OXO Softworks POP Square Storage Container - 1.0 Litre,https://www.argos.co.uk/product/6049924,1271,1,1,
71181,71181,Soda stream Classics Diet Tonic,http://www.lakeland.co.uk/71181/,944,4397812,8718692616233,Sodastream Sodamix Classic Tonic Flavour.,http://www.argos.co.uk/static/Product/partNumber/4397812.htm,1271,1,1,87
71178,71178,Soda stream Classics Diet Cola,http://www.lakeland.co.uk/71178/,944,4399645,8718692615762,Sodastream Sodamix Classic Diet Cola Flavour.,http://www.argos.co.uk/static/Product/partNumber/4399645.htm,1271,1,1,
71177,71177,Soda stream Classics Cola,http://www.lakeland.co.uk/71177/,944,3090914,8718692615755,Sodastream Sodamix Classic Cola Flavour.,http://www.argos.co.uk/static/Product/partNumber/3090914.htm,1271,1,1,93
