first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
62416,62416,Mary Berry Kenwood Chef,http://www.lakeland.co.uk/62416/,944,:B07XVF56FM,62416,"Kenwood Mary Berry Special Edition Chef Elite Stand Mixer for Baking, 3 Bowl Tools, Whisk, Dough Hook & K-Beater, Fast Cakes' Recipe Book, KVC5100C, Cream",https://www.amazon.co.uk/gp/product/B07XVF56FM,1310,1,1,
62377,62377,Barista&Co Twist Press,http://www.lakeland.co.uk/62377/,944,:B07SD5BM97,62377,"Barista & Co Twist Press Single Serve Travel Coffee Maker BC407-010, 1 Cup, Black",https://www.amazon.co.uk/gp/product/B07SD5BM97,1310,1,0,
62297,62297,Zipper Light,http://www.lakeland.co.uk/62297/,944,:B06XS3RD7F:A2KVF7QXNCLV8H,62297,"Kikkerland FL45-A Mini Zipper LED Lights, Assorted",https://www.amazon.co.uk/gp/product/B06XS3RD7F/?m=A2KVF7QXNCLV8H&ref=twister_dp_update&ie=UTF8&psc=1,1310,1,1,
62290,62290,PME Cake Drip White Chocolate,http://www.lakeland.co.uk/62290/,944,:B07R47N9ZG,62290,"PME White Chocolate Luxury Cake Drip, 150 g",https://www.amazon.co.uk/gp/product/B07R47N9ZG,1310,1,0,
62289,62289,PME Cake Drip Milk Chocolate,http://www.lakeland.co.uk/62289/,944,:B07R47CTDG,62289,"PME Milk Chocolate Luxury Cake Drip, 150 g",https://www.amazon.co.uk/gp/product/B07R47CTDG,1310,1,0,
62260,62260,Tatay Quick Fix Clip Wall Fixing,http://www.lakeland.co.uk/62260/,944,:B07L4ZSKTB,62260,"TATAY QuickFix Clip Broom Holder Wall Organizer, Hanger with Adhesive by Microsuckers, Holds up to 5 Kilograms, Reusable, Translucent, One Size",https://www.amazon.co.uk/gp/product/B07L4ZSKTB,1310,1,0,
62250,62250,Tatay lunch bag - Red,http://www.lakeland.co.uk/62250/,944,:B00PUHP4PY,62250,"TATAY Urban Food Kit, Fabric, Red Strawberry, One Size",https://www.amazon.co.uk/gp/product/B00PUHP4PY,1310,1,0,
62246,62246,OXO Condiment Keepers,http://www.lakeland.co.uk/62246/,944,:B07GC5WLN9,62246,OXO Good Grips On-The-Go Condiment Keeper - 3 Pieces,https://www.amazon.co.uk/gp/product/B07GC5WLN9,1310,1,0,
62231,62231,Aladdin Aveo Water Bottle 0.35 Blue,http://www.lakeland.co.uk/62231/,944,:B06XRXLCWH,62231,"Aladdin Aveo Water Bottle , Blue - 0.35 Litre",https://www.amazon.co.uk/gp/product/B06XRXLCWH,1310,1,0,
62230,62230,Aladdin Aveo Water Bottle 0.35ml Red,http://www.lakeland.co.uk/62230/,944,:B06XRYLDWC,62230,"Aladdin Aveo Water Bottle , Red Print - 0.35 Litre",https://www.amazon.co.uk/gp/product/B06XRYLDWC,1310,1,0,
