first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
62558,62558,LSA Canopy High Tumblers pk4,http://www.lakeland.co.uk/62558/,944,79071091000,79071091000,LSA Canopy Highballs Set of 4 Glasses One Size,https://www.houseoffraser.co.uk/brand/lsa/lsa-canopy-highballs-set-of-4-glasses-790710,1324,1,0,
62557,62557,LSA Canopy project Carafe,http://www.lakeland.co.uk/62557/,944,79070291000,79070291000,LSA Canopy Carafe One Size,https://www.houseoffraser.co.uk/brand/lsa/lsa-canopy-carafe-790702,1324,1,0,
62445,62445,JJ Bathroom Caddy Grey,http://www.lakeland.co.uk/62445/,944,306591921,306591921,Joseph Joseph Easystore Bathroom Caddy,https://www.houseoffraser.co.uk/home-and-furniture/joseph-joseph-easystore-bathroom-caddy/306591921.pd,1324,1,1,
62377,62377,Barista&Co Twist Press,http://www.lakeland.co.uk/62377/,944,79920603000,79920603000,Twist Press Coffee Maker One Size,https://www.houseoffraser.co.uk/brand/barista-and-co/twist-press-coffee-maker-799206,1324,1,0,74
62372,62372,Barista&Co Shorty SS Prof.Milk Jug,http://www.lakeland.co.uk/62372/,944,79920811000,79920811000,Shorty Milk Jug Steel 600ml One Size,https://www.houseoffraser.co.uk/brand/barista-and-co/shorty-milk-jug-steel-600ml-799208,1324,1,0,71
62264,62264,JJ Pan Lid Holders x 4,http://www.lakeland.co.uk/62264/,944,79610702000,79610702000,Set of 4 In-cupboard Pan Lid Holders One Size,https://www.houseoffraser.co.uk/brand/joseph-joseph/set-of-4-in-cupboard-pan-lid-holders-796107,1324,1,0,
61816,61816,JJ Presto Soap Dispenser,http://www.lakeland.co.uk/61816/,944,79130702000,79130702000,Joseph Presto Soap Dispenser One Size,https://www.houseoffraser.co.uk/brand/joseph-joseph/joseph-presto-soap-dispenser-791307,1324,1,1,81
61815,61815,JJ Flip Up Draining Board Grey,http://www.lakeland.co.uk/61815/,944,79130502000,79130502000,Flip-Up Drain Board One Size,https://www.houseoffraser.co.uk/brand/joseph-joseph/flip-up-drain-board-791305,1324,1,0,84
53215,53215,Tefal Maestro Steam Iron,http://www.lakeland.co.uk/53215/,944,287029809,287029809,Tefal Maestro FV1847,https://www.houseoffraser.co.uk/electricals/tefal-maestro-fv1847/287029809.pd,1324,1,1,
45908,45908,Barista & Co. Brew It Stick,http://www.lakeland.co.uk/45908/,944,276150574,276150574,"Barista & Co Brew It Stick Coffee Infuser, Black",http://www.houseoffraser.co.uk/home-and-furniture/barista-and-co-brew-it-stick-coffee-infuser-black/276150574.pd,1324,1,1,71
44728,44728,Joseph Joseph Index Graphite,http://www.lakeland.co.uk/44728/,944,79855502000,79855502000,"Index Regular Chopping Board Set, Silver One Size",https://www.houseoffraser.co.uk/brand/joseph-joseph/index-regular-chopping-board-set-silver-798555,1324,1,1,
43623,43623,Joseph Joseph Chop 2 Pot green,http://www.lakeland.co.uk/43623/,944,79732916000,79732916000,"Chop2Pot Plus Mini Folding Chopping Board, Green One Size",https://www.houseoffraser.co.uk/brand/joseph-joseph/chop2pot-plus-mini-folding-chopping-board-green-797329,1324,1,1,
40301,40301,Charbonnel Pink Champagne Truffles,http://www.lakeland.co.uk/40301/,944,188341481,188341481,Charbonnel et Walker Pink Champagne Truffles,"http://www.houseoffraser.co.uk/Charbonnel+et+Walker+Pink+Champagne+Truffles/188341481,default,pd.html",1324,1,1,93
32082,32082,Colourworks Spoon Spatula,http://www.lakeland.co.uk/32082/,944,AG497600000,ag497600000,Silicone Spatula Red One Size,https://www.houseoffraser.co.uk/brand/colourworks/silicone-spatula-red-ag4976,1324,1,1,72
31967,31967,Tefal Mini Pro Stainless Steel Fryer,http://www.lakeland.co.uk/31967/,944,280110308,280110308,Tefal Mini Deep Fryer,https://www.houseoffraser.co.uk/electricals/tefal-mini-deep-fryer/280110308.pd,1324,1,1,
26485,26485,Joseph Joseph Microwave Egg Poacher,http://www.lakeland.co.uk/26485/,944,79128913000,79128913000,Microwave Egg Poacher One Size,https://www.houseoffraser.co.uk/brand/joseph-joseph/microwave-egg-poacher-791289,1324,1,0,91
7625,7625,OXO Good Grips Vegetable Peeler,http://www.lakeland.co.uk/7625/,944,603117420,603117420,OXO Good Grips Y peeler,https://www.houseoffraser.co.uk/home-and-furniture/oxo-good-grips-y-peeler/603117420.pd,1324,1,1,
73599,73599,Green Pan Venice Pro 3pc Saucepan Set,http://www.lakeland.co.uk/73599/,944,273374187,273374187,Green Pan Venice Pro Saucepan Set,https://www.houseoffraser.co.uk/home-and-furniture/green-pan-venice-pro-saucepan-set/273374187.pd,1324,1,1,94
73597,73597,Green Pan Venice Pro 20cm Frypan,http://www.lakeland.co.uk/73597/,944,273711664,273711664,Green Pan Venice Pro Frypan,https://www.houseoffraser.co.uk/home-and-furniture/green-pan-venice-pro-frypan/273711664.pd,1324,1,1,100
73593,73593,Green Pan Venice Pro 16cm Milkpan,http://www.lakeland.co.uk/73593/,944,293378876,293378876,Green Pan Venice Pro 16cm Milkpan,https://www.houseoffraser.co.uk/home-and-furniture/green-pan-venice-pro-16cm-milkpan/293378876.pd,1324,1,1,100
73027,73027,"Circulon Ultimum Roaster 13""x11.5""",http://www.lakeland.co.uk/73027/,944,277030492,277030492,Circulon Roaster 13`` x 11.5``,https://www.houseoffraser.co.uk/home-and-furniture/circulon-roaster-13-x-115/277030492.pd,1324,1,1,
73022,73022,Circulon Ultimum Insulated Baking Sheet,http://www.lakeland.co.uk/73022/,944,277031189,277031189,Circulon Insulated baking sheet 14x16,https://www.houseoffraser.co.uk/home-and-furniture/circulon-insulated-baking-sheet-14x16/277031189.pd,1324,1,1,85
73017,73017,"CIrculon Ultimum Large Oven Tray 10""x15""",http://www.lakeland.co.uk/73017/,944,277025586,277025586,Circulon Large Oven Tray 10 x 15,https://www.houseoffraser.co.uk/home-and-furniture/circulon-large-oven-tray-10-x-15/277025586.pd,1324,1,1,
73001,73001,Oxo Good Grips Collapsible 2L Colander,http://www.lakeland.co.uk/73001/,944,287027695,287027695,OXO Good Grips Silicone Colapsable Colander 2 Litre,https://www.houseoffraser.co.uk/home-and-furniture/oxo-good-grips-silicone-colapsable-colander-2-litre/287027695.pd,1324,1,1,96
72444,72444,Oxo Good Grips Egg Poachers,http://www.lakeland.co.uk/72444/,944,286918110,286918110,OXO Good Grips 2-Piece Silicone Egg Poaching Set,https://www.houseoffraser.co.uk/home-and-furniture/oxo-good-grips-2-piece-silicone-egg-poaching-set/286918110.pd,1324,1,1,86
72244,72244,Joseph Joseph Helix Ricer,http://www.lakeland.co.uk/72244/,944,79725901000,79725901000,Helix Potato Ricer One Size,https://www.houseoffraser.co.uk/brand/joseph-joseph/helix-potato-ricer-797259,1324,1,1,
72171,72171,14' Carbon Steel Non-Stick Wok,http://www.lakeland.co.uk/72171/,944,79927403360,79927403360,Wok Star Non-stick Carbon Steel Wok 36 cm,https://www.houseoffraser.co.uk/brand/school-of-wok/wok-star-non-stick-carbon-steel-wok-799274,1324,1,0,86
72169,72169,"12""Carbon Steel Wok",http://www.lakeland.co.uk/72169/,944,287402837,287402837,School Of Wok Carbon Steel Wok,https://www.houseoffraser.co.uk/home-and-furniture/school-of-wok-carbon-steel-wok/287402837.pd,1324,1,1,86
72138,72138,Joseph Joseph Nest Chop,http://www.lakeland.co.uk/72138/,944,245523029,245523029,"Joseph Joseph Nest Chopping Board Set, Opal",https://www.houseoffraser.co.uk/home-and-furniture/joseph-joseph-nest-chopping-board-set-opal/245523029.pd,1324,1,1,93
72111,72111,Joseph Joseph Nest Steam,http://www.lakeland.co.uk/72111/,944,79914499000,79914499000,Nest Steam Set of 3 Steaming Set One Size,https://www.houseoffraser.co.uk/brand/joseph-joseph/nest-steam-set-of-3-steaming-set-799144,1324,1,0,
71810,71810,Cole & Mason Horsham Copper Salt Mill,http://www.lakeland.co.uk/71810/,944,257006863,257006863,Cole & Mason Horsham Salt Mill Copper,https://www.houseoffraser.co.uk/home-and-furniture/cole-and-mason-horsham-salt-mill-copper/257006863.pd,1324,1,1,100
71809,71809,Cole & Mason Horsham Copper Pepper Mill,http://www.lakeland.co.uk/71809/,944,257012686,257012686,Cole & Mason Horsham Pepper mill Copper,https://www.houseoffraser.co.uk/home-and-furniture/cole-and-mason-horsham-pepper-mill-copper/257012686.pd,1324,1,1,
71653,71653,Oxo Good Grips Vegetable Chopper,http://www.lakeland.co.uk/71653/,944,287030313,287030313,OXO Good Grips Vegetable Chopper With Easy Pour Opening,https://www.houseoffraser.co.uk/home-and-furniture/oxo-good-grips-vegetable-chopper-with-easy-pour-opening/287030313.pd,1324,1,1,90
70937,70937,Greenpan Round Mini Frypan,http://www.lakeland.co.uk/70937/,944,79911716000,79911716000,Mini Frying Pan One Size,https://www.houseoffraser.co.uk/brand/green-pan/mini-frying-pan-799117,1324,1,0,
70787,70787,Magimix 5200XL Premium Edition,http://www.lakeland.co.uk/70787/,944,218082987,218082987,Magimix Food processor 5200XL Premium Satin,https://www.houseoffraser.co.uk/electricals/magimix-food---processor-5200xl-premium-satin/218082987.pd,1324,1,1,81
70674,70674,KitchenAid Slow Juicer & Sauce Attachmnt,http://www.lakeland.co.uk/70674/,944,79768911000,79768911000,Maximum Extraction Slow Juicer & Sauce Attachment One Size,https://www.houseoffraser.co.uk/brand/kitchenaid/maximum-extraction-slow-juicer-and-sauce-attachment-797689,1324,1,1,
70557,70557,Dualit Classic Polished Kettle,http://www.lakeland.co.uk/70557/,944,237767075,237767075,"Dualit Classic 1.7l Kettle, Polished Stainless Steel",https://www.houseoffraser.co.uk/electricals/dualit-classic-17l-kettle-polished-stainless-steel/237767075.pd,1324,1,1,100
70082,70082,Kenwood Multipro Classic Food Processor,http://www.lakeland.co.uk/70082/,944,222590081,222590081,Kenwood Multi Pro Classic FDM790BA,https://www.houseoffraser.co.uk/electricals/kenwood-multi-pro-classic-fdm790ba/222590081.pd,1324,1,1,
70040,70040,Oxo Good Grips Kitchen and Herb Scissors,http://www.lakeland.co.uk/70040/,944,113646947,113646947,OXO Good Grips Kitchen & herb scissors,https://www.houseoffraser.co.uk/home-and-furniture/oxo-good-grips-kitchen-and-herb-scissors/113646947.pd,1324,1,1,96
19731,19731,Oxo Good Grips 2.3L Pop Cereal Dispenser,http://www.lakeland.co.uk/19731/,944,210557695,210557695,OXO Good Grips GG POP Cereal Dispenser Small - 2.3L,"http://www.houseoffraser.co.uk/OXO+Good+Grips+GG+POP+Cereal+Dispenser+Small+-+2.3L/210557695,default,pd.html",1324,1,1,
19725,19725,Slice & Sharpen Large,http://www.lakeland.co.uk/19725/,944,201880594,201880594,"Joseph Joseph Slice & Sharpen Large Chopping Board, Green",https://www.houseoffraser.co.uk/home-and-furniture/joseph-joseph-slice-and-sharpen-large-chopping-board-green/201880594.pd,1324,1,1,88
18792,18792,OXO Mini Dressing Shaker,http://www.lakeland.co.uk/18792/,944,198427344,198427344,OXO Good Grips Little salad dressing shaker,https://www.houseoffraser.co.uk/home-and-furniture/oxo-good-grips-little-salad-dressing-shaker/198427344.pd,1324,1,1,79
18773,18773,Tefal Ingenio 3 Glass Lids,http://www.lakeland.co.uk/18773/,944,197240820,197240820,"Tefal Ingenio 16, 18 and 20cm glass lids",https://www.houseoffraser.co.uk/home-and-furniture/tefal-ingenio-16-18-and-20cm-glass-lids/197240820.pd,1324,1,1,80
18772,18772,Tefal Ingenio 3PC Aluminium Saucepan Set,http://www.lakeland.co.uk/18772/,944,197158950,197158950,Tefal Ingenio Induction Saucepan Set Of 4 Pieces,https://www.houseoffraser.co.uk/home-and-furniture/tefal-ingenio-induction-saucepan-set-of-4-pieces/197158950.pd,1324,1,1,71
18678,18678,MEAT MINCER,http://www.lakeland.co.uk/18678/,944,123225214,123225214,Kitchen Craft Homemade Meat Mincer,https://www.houseoffraser.co.uk/home-and-furniture/kitchen-craft-homemade-meat-mincer/123225214.pd,1324,1,1,94
18046,18046,OXO Good Grips Salad Spinner,http://www.lakeland.co.uk/18046/,944,184622194,184622194,OXO Good Grips Salad spinner,https://www.houseoffraser.co.uk/home-and-furniture/oxo-good-grips-salad-spinner/184622194.pd,1324,1,1,79
17960,17960,Sage The Smart Kettle,http://www.lakeland.co.uk/17960/,944,181051019,181051019,Sage by Heston Blumenthal Smart Kettle,"http://www.houseoffraser.co.uk/Sage+by+Heston+Blumenthal+Smart+Kettle/181051019,default,pd.html",1324,1,1,
17955,17955,Sage The Smart Scoop,http://www.lakeland.co.uk/17955/,944,181174029,181174029,Sage by Heston Blumenthal Smart scoop ice cream maker,"http://www.houseoffraser.co.uk/Sage+by+Heston+Blumenthal+Smart+scoop+ice+cream+maker/181174029,default,pd.html",1324,1,1,
17164,17164,Dualit 2-Slot Architect Toaster,http://www.lakeland.co.uk/17164/,944,173505363,173505363,"Dualit Architect 2 Slot Toaster, Grey",https://www.houseoffraser.co.uk/electricals/dualit-architect-2-slot-toaster-grey/173505363.pd,1324,1,1,
16842,16842,KitchenAid Stand Mixer Flex Edge Beater,http://www.lakeland.co.uk/16842/,944,173808575,173808575,KitchenAid Edge Beater 5KFE5T,https://www.houseoffraser.co.uk/electricals/kitchenaid-edge-beater-5kfe5t/173808575.pd,1324,1,1,80
16711,16711,Dualit 2-Slice Canvas White Toaster,http://www.lakeland.co.uk/16711/,944,237796854,237796854,"Dualit Lite 2 Slot Toaster, Canvas White",http://www.houseoffraser.co.uk/electricals/dualit-lite-2-slot-toaster-canvas-white/237796854.pd,1324,1,1,94
16511,16511,OXO Avocado Tool,http://www.lakeland.co.uk/16511/,944,183662515,183662515,OXO Good Grips 3-in-1 avocado tool,"http://www.houseoffraser.co.uk/OXO+Good+Grips+3-in-1+avocado+tool/183662515,default,pd.html",1324,1,1,70
15534,15534,Joseph Joseph Stretch Silicone Pot Stand,http://www.lakeland.co.uk/15534/,944,277639733,277639733,"Joseph Joseph Stretch Adjustable Trivet, Black",https://www.houseoffraser.co.uk/home-and-furniture/joseph-joseph-stretch-adjustable-trivet-black/277639733.pd,1324,1,1,
15384,15384,OXO Good Grips Box Grater,http://www.lakeland.co.uk/15384/,944,107848808,107848808,OXO Good Grips Box grater,https://www.houseoffraser.co.uk/home-and-furniture/oxo-good-grips-box-grater/107848808.pd,1324,1,1,79
