first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
62746,62746,Ooni Fyra Cover,http://www.lakeland.co.uk/62746/,944,UU-P0AE00,uu-p0ae00,Ooni Fyra Cover,https://www.hartsofstur.com/ooni-fyra-cover-uu-p0ae00.html,1330,1,0,100
62745,62745,Ooni Karu Cover,http://www.lakeland.co.uk/62745/,944,UU-P0A200,uu-p0a200,Ooni Karu Carry Cover,https://www.hartsofstur.com/ooni-karu-carry-cover-uu-p0a200.html,1330,1,0,93
62716,62716,Aladdin Blue Thermavac Leak Lock 0.25l,http://www.lakeland.co.uk/62716/,944,1006632004,1006632004,Aladdin 250ml Leak-Lock Blue Latte Travel Mug,https://www.hartsofstur.com/aladdin-250ml-leak-lock-blue-latte-travel-mug-1006632004.html,1330,1,0,
62649,62649,Kilner Soup On The Go,http://www.lakeland.co.uk/62649/,944,0025011,0025011,Kilner Soup Jar Set,https://www.hartsofstur.com/kilner-soup-jar-set-0025011.html,1330,1,0,
62642,62642,Summerhouse 500ml Drinking White Flora,http://www.lakeland.co.uk/62642/,944,73877,73877,Navigate Gardenia 500ml Stainless Steel Vacuum Drinks Bottle White Floral,https://www.hartsofstur.com/navigate-gardenia-500ml-stainless-steel-vacuum-drinks-bottle-white-floral-73877.html,1330,1,0,
62558,62558,LSA Canopy High Tumblers pk4,http://www.lakeland.co.uk/62558/,944,CQ02-G1578-12-161,cq02-g1578-12-161,LSA Canopy 350ml Tumbler Set Of 4,https://www.hartsofstur.com/lsa-canopy-350ml-tumbler-set-of-4-cq02-g1578-12-161.html,1330,1,0,
62557,62557,LSA Canopy project Carafe,http://www.lakeland.co.uk/62557/,944,CQ05-G1586-46-161,cq05-g1586-46-161,LSA Canopy 1.3 Litre Carafe,https://www.hartsofstur.com/lsa-canopy-1-3-litre-carafe-cq05-g1586-46-161.html,1330,1,0,
62520,62520,Ooni Koda Cover,http://www.lakeland.co.uk/62520/,944,UU-P07900,uu-p07900,Ooni Koda Carry Cover,https://www.hartsofstur.com/ooni-koda-carry-cover-uu-p07900.html,1330,1,0,93
62445,62445,JJ Bathroom Caddy Grey,http://www.lakeland.co.uk/62445/,944,70513,70513,Joseph Joseph Bathroom Grey Easy-Store Bathroom Caddy,https://www.hartsofstur.com/joseph-joseph-bathroom-grey-easy-store-bathroom-caddy-70513.html,1330,1,1,
62390,62390,Sage The Soft Top Luxe Kettle DamsonBlue,http://www.lakeland.co.uk/62390/,944,SKE735DBL,ske735dbl,Sage Soft Top Luxe Kettle Damson Blue,https://www.hartsofstur.com/sage-soft-top-luxe-kettle-damson-blue-ske735dbl.html,1330,1,0,
