first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
62445,62445,JJ Bathroom Caddy Grey,http://www.lakeland.co.uk/62445/,944,30680258,30680258,JJ Large Toothbrush Caddy Grey,https://www.dunelm.com/product/joseph-joseph-easystore-bathroom-caddy-1000161006,1331,1,0,88
62265,62265,JJ Undershelf Drawer,http://www.lakeland.co.uk/62265/,944,30681094,30681094,Joseph Joseph Undershelf Drawer,https://www.dunelm.com/product/joseph-joseph-undershelf-drawer-1000161077,1331,1,0,93
62264,62264,JJ Pan Lid Holders x 4,http://www.lakeland.co.uk/62264/,944,30681095,30681095,Joseph Joseph Set of 4 Pan Lid Holders,https://www.dunelm.com/product/joseph-joseph-set-of-4-pan-lid-holders-1000161078,1331,1,0,85
62262,62262,JJ Undershelf Spice Rack,http://www.lakeland.co.uk/62262/,944,30681093,30681093,Joseph Joseph Undershelf Spice Rack,https://www.dunelm.com/product/joseph-joseph-undershelf-spice-rack-1000161076,1331,1,0,95
62022,62022,Viners Select serving spoons set of 2,http://www.lakeland.co.uk/62022/,944,30681058,30681058,Viners Select 2pc Serving Spoons,https://www.dunelm.com/product/viners-select-set-of-2-serving-spoons-1000161394,1331,1,0,82
62021,62021,Viners Select cake forks set of 6,http://www.lakeland.co.uk/62021/,944,526279,30214626,Viners select Pastry Forks 6pk,https://www.dunelm.com/product/viners-select-6-pack-pastry-forks-1000076965,1331,1,0,82
61840,61840,Wine Stack Rack,http://www.lakeland.co.uk/61840/,944,30395407,30395407,Stack Rack Wine Rack 12 Bottle Chrome,https://www.dunelm.com/product/hahn-stack-rack-chrome-12-bottle-wine-rack-1000100037,1331,1,1,90
61815,61815,JJ Flip Up Draining Board Grey,http://www.lakeland.co.uk/61815/,944,962565,30647807,Flip-Up Draining Board- Grey,https://www.dunelm.com/product/joseph-joseph-flip-up-draining-board-1000147377,1331,1,0,96
61799,61799,beurer Soft Cosy Heat Pad,http://www.lakeland.co.uk/61799/,944,1055539,30669515,Beurer HK44 Not a Hot Waterbottle,https://www.dunelm.com/product/beurer-not-a-hot-water-bottle-hk44-heat-pad-1000158359,1331,1,0,
61464,61464,Lock & Lock Eco 2.6L Rectangular Box,http://www.lakeland.co.uk/61464/,944,30664273,30664273,Eco LockandLock Rctngulr 2.6L Container,https://www.dunelm.com/product/lock-lock-eco-26l-food-storage-container-1000155718,1331,1,0,88
53272,53272,BRABANTIA 50M TOPSPINNER ROTARY GREY,http://www.lakeland.co.uk/53272/,944,654584,30235265,Brabantia Rotary compact 50m,https://www.dunelm.com/product/brabantia-50-metre-4-arm-compact-rotary-washing-line-1000089536,1331,1,1,82
53192,53192,Brabantia Stackable Laundry Box Pepper B,http://www.lakeland.co.uk/53192/,944,30704853,30704853,Brabantia Stackable Laundry Box 35L Grey,https://www.dunelm.com/product/brabantia-stackable-grey-35l-laundry-box-1000168430,1331,1,1,81
4418,4418,MagiPull,http://www.lakeland.co.uk/4418/,944,594388,30239706,Culinare Magipull,https://www.dunelm.com/product/culinare-magipull-1000084429,1331,1,0,100
43632,43632,Joseph Joseph Cut and Carve Block,http://www.lakeland.co.uk/43632/,944,340660,340660,JJ Cut & Carve Plus Large Black,http://www.dunelm.com/product/joseph-joseph-black-large-cut-and-carve-plus-1000058293,1331,1,1,84
43628,43628,Joseph Joseph Garlic Rocker Green,http://www.lakeland.co.uk/43628/,944,341981,30133479,JJ Garlic Rocker Green,https://www.dunelm.com/product/joseph-joseph-green-garlic-rocker-1000058277,1331,1,1,91
43623,43623,Joseph Joseph Chop 2 Pot green,http://www.lakeland.co.uk/43623/,944,493014,493014,JJ Chop 2 Pot Plus Large Green,http://www.dunelm.com/product/jj-chop-2-pot-plus-large-black-1000073461,1331,1,1,94
