first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
ZJM300CR,zjm300cr,Kenwood 3000W 1.7L Turbo Kettle - Cream | ZJM300CR,https://www.expert.ie/products/small-appliances/kenwood-store/kenwood-kettles/kenwood-3000w-1-7l-turbo-kettle-cream-zjm300cr,1458,9485,zjm300cr,Ex-Display Kenwood 3000W 1.7L Turbo Kettle - Cream | ZJM300CR,https://www.did.ie/kenwood-3000w-turbo-kettle-cream-zjm300cr-zjm300cr-prd,1459,1,1,
WW80J5555FW,ww80j5555fw,Samsung WW80J5555FW 8KG 1400 Spin Washing Machine - White,https://www.expert.ie/products/home-appliances/laundry/washing-machines/samsung-ww80j5555fw-8kg-1400-spin-washing-machine,1458,9089,ww80j5555fw,Samsung Ecobubble 8KG 1400 Spin Freestanding Washing Machine - White | WW80J5555FW,https://www.did.ie/samsung-8kg-1400-spin-ecobubble-freestanding-washing-machine-white-ww80j5555fw-ww80j5555fw-prd,1459,1,0,
MRR02B/A,mrr02b/a,Apple 27-inch iMac with Retina 5K display,https://www.expert.ie/products/computing-ps4-store/apple/imac/imac/apple-27-inch-imac-with-retina-5k-display-(1),1458,12685,mrr02b/a,"Apple iMac Intel Core i5 27"" 8GB/1TB All-in-One Desktop - Silver | MRR02B/A",https://www.did.ie/apple-imac-intel-core-i5-27-8gb-1tb-all-in-one-desktop-silver-mrr02b-a-mrr02b-a-prd,1459,1,0,
MK0C2ZM/A,mk0c2zm/a,Apple Pencil,https://www.expert.ie/products/computing-ps4-store/apple/apple-accessories/apple-pencil,1458,7825,mk0c2zm/a,Apple Pencil for iPad Pro - White | MK0C2ZM/A,https://www.did.ie/apple-pencil-for-ipad-pro-white-mk0c2zm-a-mk0c2zm-a-prd,1459,1,0,
HBS534BS0B,hbs534bs0b,Bosch Series 4 Built-in Single Oven | HBS534BS0B,https://www.expert.ie/products/bosch-spring-cashback-promotion/bosch-promotion/bosch-series-4-built-in-single-oven-hbs534bs0b,1458,11988,hbs534bs0b,Bosch Serie 4 Built-In Multifunction Electric Single Oven - Stainless Steel | HBS534BS0B,https://www.did.ie/bosch-built-in-multifunction-electric-single-oven-stainless-steel-hbs534bs0b-hbs534bs0b-prd,1459,1,1,
CPA565GS0B,cpa565gs0b,Bosch Series 6 36L 1000W Built In Combi Microwave Oven | CPA565GS0B | Stainless Steel,https://www.expert.ie/products/bosch-spring-cashback-promotion/bosch-promotion/bosch-series-6-36l-1000w-built-in-combi-microwave,1458,12509,cpa565gs0b,Bosch Serie 6 36L Built-In Combi Microwave - Stainless Steel | CPA565GS0B,https://www.did.ie/bosch-serie-6-36l-built-in-combi-microwave-stainless-steel-cpa565gs0b-cpa565gs0b-prd,1459,1,0,
CTG51LPGWH,ctg51lpgwh,Nordmende 50cm Freestanding Gas Cooker | White | CTG51LPGWH,https://www.expert.ie/products/home-appliances/cooking/freestanding-double-oven/nordmende-50cm-freestanding-gas-cooker-(1),1458,7497,ctg51lpgwh,Nordmende 50cm Gas Cooker - White | CTG51LPGWH,https://www.did.ie/nordmende-50cm-freestanding-lpg-gas-cooker-white-ctg51lpgwh-ctg51lpgwh-prd,1459,1,0,
1000250,1000250,Mint+ Grade A Silver iPhone 6s 16GB (A) 1000250,https://www.expert.ie/products/apple/refurbished-iphone-s/mint-grade-a-silver-iphone-6s-16gb-(a)-1000250,1458,10764,1000250,Mint+ Premium Apple iPhone 6S 16GB Smartphone - Silver | 1000250,https://www.did.ie/mint-apple-iphone-6s-16gb-smartphone-silver-1000250-1000250-prd,1459,1,1,
1000233,1000233,Mint+ Grade A Space Gold iPhone 6 16GB (A) 1000233,https://www.expert.ie/products/computing-ps4-store/samsung-mobile/refurbished-iphone-s/1000233,1458,10770,1000233,Mint+ Premium Apple iPhone 6 16GB Smartphone - Gold | 1000233,https://www.did.ie/mint-premium-apple-iphone-6-16gb-smartphone-gold-1000233-1000233-prd,1459,1,1,
TCM300RD,tcm300rd,Kenwood 2300W Turbo 2 Slot Toaster - Red | TCM300RD,https://www.expert.ie/products/small-appliances/kenwood-store/kenwood-toasters/kenwood-2300w-turbo-2-slot-toaster-red-tcm300rd,1458,9480,tcm300rd,Clearance Kenwood 2300W Turbo 2 Slot Toaster - Red | TCM300RD,https://www.did.ie/kenwood-2300w-turbo-2-slot-toaster-red-tcm300rd-tcm300rd-prd,1459,1,1,
