first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
ZJM300CR,zjm300cr,Kenwood 3000W 1.7L Turbo Kettle - Cream | ZJM300CR,https://www.expert.ie/products/small-appliances/kenwood-store/kenwood-kettles/kenwood-3000w-1-7l-turbo-kettle-cream-zjm300cr,1458,5011423194288,zjm300cr,KENWOOD 1.6 LITRE 60SEC BOIL KETTLE CREAM,https://powercity.ie/product/ZJM300C,1460,1,1,
WW80J5555FW,ww80j5555fw,Samsung WW80J5555FW 8KG 1400 Spin Washing Machine - White,https://www.expert.ie/products/home-appliances/laundry/washing-machines/samsung-ww80j5555fw-8kg-1400-spin-washing-machine,1458,8806088738611,ww80j5555fw/eu,"SAMSUNG 1400 8KG "" ECO BUBBLE 15C = 40 C STANDARD""",https://powercity.ie/product/55FWEU,1460,1,0,
MV7N2ZM/A,mv7n2zm/a,Airpods (2019) With Charging Case,"https://www.expert.ie/products/computing-ps4-store/computing/apple/apple-accessories/apple-airpods,-white-(1)",1458,190199098572,mv7n2zm/a,APPLE AIRPODS (GEN 2) WITH CHARGING CASE - WIRELESS BLUETOOTH HEADPHONES,https://powercity.ie/product/MV7N2ZM,1460,1,0,
MUU32B/A,muu32b/a,Apple iPad mini Wi-Fi 256GB - Silver,"https://www.expert.ie/products/apple/ipad/ipad-mini-3/apple-ipad-mini,-apple-a12,-ios,-7-9-,-wi-fi,-(4)",1458,190199063860,muu32b/a,APPLE IPAD MINI WI-FI 256GB - SPACE GREY,https://powercity.ie/product/MUU32B,1460,1,1,
MRY52B/A,mry52b/a,Apple iPhone XR 64GB | White,https://www.expert.ie/products/computing-ps4-store/samsung-mobile/iphone/iphone-xr/iphone-xr-64gb-black-(1),1458,190198770660,mry52b/a,APPLE IPHONE XR 64GB WHITE - SIM FREE SMARTPHONE,https://powercity.ie/product/MRY52B,1460,1,0,
MK0C2ZM/A,mk0c2zm/a,Apple Pencil,https://www.expert.ie/products/computing-ps4-store/apple/apple-accessories/apple-pencil,1458,888462313711,mk0c2zm/a,APPLE PENCIL 1ST GENERATION,https://powercity.ie/product/MK0C2ZM,1460,1,0,
MBS533BB0B,mbs533bb0b,Bosch MBS533BB0B Black Double Oven with 3D Hot air,https://www.expert.ie/products/home-appliances/cooking/double-oven/bosch-mbs533bb0b-black-double-oven-with-3d-hotair,1458,4242005034529,mbs533bb0b,"Serie | 4 MBS533BB0B black, BOSCH DOUBLE OVEN 3D HOTAIR ECOCLEAN",https://powercity.ie/product/533BB0B,1460,1,1,
HBS534BS0B,hbs534bs0b,Bosch Series 4 Built-in Single Oven | HBS534BS0B,https://www.expert.ie/products/bosch-spring-cashback-promotion/bosch-promotion/bosch-series-4-built-in-single-oven-hbs534bs0b,1458,4242005057375,hbs534bs0b,BOSCH SERIE 4 SINGLE OVEN 7 FUNCTIONS,https://powercity.ie/product/534BS0B,1460,1,1,
HBA5570S0B,hba5570s0b,"Bosch HBA5570S0B, Single Oven, Brushed Steel","https://www.expert.ie/products/home-appliances/cooking/double-build-in-oven/bosch-hba5570s0b,-single-oven,-brushed-steel",1458,4242005056682,hba5780s0b,BOSCH SERIE 6 SINGLE OVEN WITH 30 PRE SET AUTOMATIC PROGRAMMES AND 3D HOT AIR,https://powercity.ie/product/HBA5780,1460,0,1,
CTG51LPGWH,ctg51lpgwh,Nordmende 50cm Freestanding Gas Cooker | White | CTG51LPGWH,https://www.expert.ie/products/home-appliances/cooking/freestanding-double-oven/nordmende-50cm-freestanding-gas-cooker-(1),1458,5391528581351,ctg51lpgwh,50cm Freestanding Gas Cooker NORDMENDE 50CM TWIN CAVITY LPG WHITE,https://powercity.ie/product/TG51LPGW,1460,1,0,
1000250,1000250,Mint+ Grade A Silver iPhone 6s 16GB (A) 1000250,https://www.expert.ie/products/apple/refurbished-iphone-s/mint-grade-a-silver-iphone-6s-16gb-(a)-1000250,1458,6105041915802,1000250,"MINT APPLE IPHONE 6S 16GB SILVER - GRADE A ""LIKE NEW"" SIM FREE SMART PHONE",https://powercity.ie/product/915802,1460,1,0,
TCM300RD,tcm300rd,Kenwood 2300W Turbo 2 Slot Toaster - Red | TCM300RD,https://www.expert.ie/products/small-appliances/kenwood-store/kenwood-toasters/kenwood-2300w-turbo-2-slot-toaster-red-tcm300rd,1458,5011423194264,tcm300rd,KENWOOD 2 SLICE 60SEC TOASTER RED,https://powercity.ie/product/TM300R,1460,1,0,
KVL4100S,kvl4100s,"Kenwood KVL4100S Chef Premier XL Stand Mixer, Silver","https://www.expert.ie/products/small-appliances/kenwood-store/kenwood-mixers/kenwood-kvl4100s-chef-premier-xl-stand-mixer,-(1)",1458,5011423194394,kvl4100s,KENWOOD CHEF XL KITCHEN MACHINE SILVER,https://powercity.ie/product/KVL4100S,1460,1,0,
