first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
WW80J5555FW,ww80j5555fw,Samsung WW80J5555FW 8KG 1400 Spin Washing Machine - White,https://www.expert.ie/products/home-appliances/laundry/washing-machines/samsung-ww80j5555fw-8kg-1400-spin-washing-machine,1458,196620,196620.0,SAMSUNG ecobubble WW80J5555FW 8 kg 1400 Spin Washing Machine - White,https://www.currys.ie/ieen/household-appliances/laundry/washing-machines/samsung-ecobubble-ww80j5555fw-8-kg-1400-spin-washing-machine-white-10161590-pdt.html,1533,1,0,100
MV7N2ZM/A,mv7n2zm/a,Airpods (2019) With Charging Case,"https://www.expert.ie/products/computing-ps4-store/computing/apple/apple-accessories/apple-airpods,-white-(1)",1458,264174,264174.0,APPLE AirPods with Wireless Charging Case (2nd generation) - White,https://www.currys.ie/ieen/audio-and-headphones/headphones/headphones/apple-airpods-with-wireless-charging-case-2nd-generation-white-10191856-pdt.html,1533,1,0,
MUU32B/A,muu32b/a,Apple iPad mini Wi-Fi 256GB - Silver,"https://www.expert.ie/products/apple/ipad/ipad-mini-3/apple-ipad-mini,-apple-a12,-ios,-7-9-,-wi-fi,-(4)",1458,263996,263996.0,"APPLE 7.9"" iPad mini 5 (2019) - 256 GB, Silver",https://www.currys.ie/ieen/computing/tablets-and-ereaders/tablets/apple-7-9-ipad-mini-5-2019-256-gb-silver-10191660-pdt.html,1533,1,0,90
MRY52B/A,mry52b/a,Apple iPhone XR 64GB | White,https://www.expert.ie/products/computing-ps4-store/samsung-mobile/iphone/iphone-xr/iphone-xr-64gb-black-(1),1458,248948,248948.0,"APPLE iPhone XR - 64 GB, White",https://www.currys.ie/ieen/phones-broadband-and-sat-nav/mobile-phones-and-accessories/mobile-phones/apple-iphone-xr-64-gb-white-10185973-pdt.html,1533,1,0,97
MRTR2B/A,mrtr2b/a,Apple Mac mini,https://www.expert.ie/products/computing-ps4-store/computing/apple/imac/mac-mini/apple-mac-mini,1458,248879,248879.0,APPLE Mac Mini - 128 GB SSD,https://www.currys.ie/ieen/computing/desktop-pcs/desktop-pcs/apple-mac-mini-128-gb-ssd-10187935-pdt.html,1533,1,0,78
MRR02B/A,mrr02b/a,Apple 27-inch iMac with Retina 5K display,https://www.expert.ie/products/computing-ps4-store/apple/imac/imac/apple-27-inch-imac-with-retina-5k-display-(1),1458,248903,248903.0,"APPLE iMac 5K 27"" (2019) - Intel® Core™ i5, 1 TB",https://www.currys.ie/ieen/computing/desktop-pcs/desktop-pcs/apple-imac-5k-27-2019-intel-core-i5-1-tb-10187950-pdt.html,1533,1,0,81
MK0C2ZM/A,mk0c2zm/a,Apple Pencil,https://www.expert.ie/products/computing-ps4-store/apple/apple-accessories/apple-pencil,1458,150306,150306.0,APPLE Pencil - White,https://www.currys.ie/ieen/computing-accessories/computer-accessories/tablet-accessories/tablet-chargers-adapators-and-cable/apple-pencil-white-10140153-pdt.html,1533,1,0,
MBS533BB0B,mbs533bb0b,Bosch MBS533BB0B Black Double Oven with 3D Hot air,https://www.expert.ie/products/home-appliances/cooking/double-oven/bosch-mbs533bb0b-black-double-oven-with-3d-hotair,1458,235485,235485.0,BOSCH Serie 4 NBS533BB0B Electric Built-under Double Oven - Black,https://www.currys.ie/ieen/household-appliances/cooking/ovens/bosch-serie-4-nbs533bb0b-electric-built-under-double-oven-black-10178805-pdt.html,1533,1,0,71
HBS534BS0B,hbs534bs0b,Bosch Series 4 Built-in Single Oven | HBS534BS0B,https://www.expert.ie/products/bosch-spring-cashback-promotion/bosch-promotion/bosch-series-4-built-in-single-oven-hbs534bs0b,1458,230049,230049.0,BOSCH Serie 4 HBS534BS0B Electric Oven - Stainless Steel,https://www.currys.ie/ieen/household-appliances/cooking/ovens/bosch-serie-4-hbs534bs0b-electric-oven-stainless-steel-10175675-pdt.html,1533,1,0,
HBA5570S0B,hba5570s0b,"Bosch HBA5570S0B, Single Oven, Brushed Steel","https://www.expert.ie/products/home-appliances/cooking/double-build-in-oven/bosch-hba5570s0b,-single-oven,-brushed-steel",1458,234174,234174.0,BOSCH Serie 6 HBA5570S0B Electric Oven - Stainless Steel,https://www.currys.ie/ieen/household-appliances/cooking/ovens/bosch-serie-6-hba5570s0b-electric-oven-stainless-steel-10178374-pdt.html,1533,1,0,
