first_identifier,first_sku,first_name,first_url,first_website_id,second_identifier,second_sku,second_name,second_url,second_website_id,accepted,delisted,score
ZJM300CR,zjm300cr,Kenwood 3000W 1.7L Turbo Kettle - Cream | ZJM300CR,https://www.expert.ie/products/small-appliances/kenwood-store/kenwood-kettles/kenwood-3000w-1-7l-turbo-kettle-cream-zjm300cr,1458,77515,zjm300cr,Kenwood 1.7L Turbo Kettle | Cream,https://www.harveynorman.ie/small-appliances/kettles-and-toasters/kettles/kenwood-1.7l-turbo-kettle-cream.html,2268,1,1,100
WW80J5555FW,ww80j5555fw,Samsung WW80J5555FW 8KG 1400 Spin Washing Machine - White,https://www.expert.ie/products/home-appliances/laundry/washing-machines/samsung-ww80j5555fw-8kg-1400-spin-washing-machine,1458,65636,ww80j5555fw/eu,Samsung Ecobubble 8kg Freestanding Washing Machine | WW80J5555FW/EU,https://www.harveynorman.ie/home-appliances/appliances/washing-machines/samsung-ecobubble-8kg-freestanding-washing-machine-ww80j5555fw-eu.html,2268,1,0,100
MV7N2ZM/A,mv7n2zm/a,Airpods (2019) With Charging Case,"https://www.expert.ie/products/computing-ps4-store/computing/apple/apple-accessories/apple-airpods,-white-(1)",1458,133970,mv7n2zm/a,Airpods 2nd Generation with Charging Case,https://www.harveynorman.ie/computing/apple/apple-accessories/airpods-2nd-generation-with-charging-case.html,2268,1,0,74
MUU32B/A,muu32b/a,Apple iPad mini Wi-Fi 256GB - Silver,"https://www.expert.ie/products/apple/ipad/ipad-mini-3/apple-ipad-mini,-apple-a12,-ios,-7-9-,-wi-fi,-(4)",1458,132286,muu32b/a,iPad Mini Wi-Fi | 256GB | Space Grey (2019),https://www.harveynorman.ie/computing/apple/ipad/ipad-mini-wi-fi-256gb-space-grey-2019.html,2268,1,0,
MRY52B/A,mry52b/a,Apple iPhone XR 64GB | White,https://www.expert.ie/products/computing-ps4-store/samsung-mobile/iphone/iphone-xr/iphone-xr-64gb-black-(1),1458,159126,3d824b/a,Ex-Display iPhone XR | 64GB | White,https://www.harveynorman.ie/computing/apple/iphone/demo-iphone-xr-64gb-white.html,2268,1,1,93
MRTR2B/A,mrtr2b/a,Apple Mac mini,https://www.expert.ie/products/computing-ps4-store/computing/apple/imac/mac-mini/apple-mac-mini,1458,158087,mxnf2b/a,Apple Mac Mini - Core i3 | 8GB | 256GB,https://www.harveynorman.ie/computing/apple/imac/apple-mac-mini-core-i3-8gb-256gb.html,2268,1,0,74
MRR02B/A,mrr02b/a,Apple 27-inch iMac with Retina 5K display,https://www.expert.ie/products/computing-ps4-store/apple/imac/imac/apple-27-inch-imac-with-retina-5k-display-(1),1458,134746,mrr02b/a,"iMac 27"" Core i5 | 8GB | 1TB Fusion Drive 2019",https://www.harveynorman.ie/computing/apple/imac/imac-27-core-i5-8gb-1tb-fusion-drive-2019-en.html,2268,1,1,
MK0C2ZM/A,mk0c2zm/a,Apple Pencil,https://www.expert.ie/products/computing-ps4-store/apple/apple-accessories/apple-pencil,1458,57737,mk0c2zm/a,Apple Pencil,https://www.harveynorman.ie/computing/apple/ipad-accessories/ipad-pro-pencil.html,2268,1,0,90
MBS533BB0B,mbs533bb0b,Bosch MBS533BB0B Black Double Oven with 3D Hot air,https://www.expert.ie/products/home-appliances/cooking/double-oven/bosch-mbs533bb0b-black-double-oven-with-3d-hotair,1458,78416,mbs533bb0b,Bosch Series 4 Built In Electric Double Oven | MBS533BB0B,https://www.harveynorman.ie/home-appliances/cooking-appliances/ovens/double-ovens/bosch-series-4-built-in-electric-double-oven-mbs533bb0b.html,2268,1,1,
HBS534BS0B,hbs534bs0b,Bosch Series 4 Built-in Single Oven | HBS534BS0B,https://www.expert.ie/products/bosch-spring-cashback-promotion/bosch-promotion/bosch-series-4-built-in-single-oven-hbs534bs0b,1458,80837,hbs534bs0b,Bosch Series 4 Built In Single Oven | HBS534BS0B,https://www.harveynorman.ie/home-appliances/cooking-appliances/ovens/single-ovens/bosch-series-4-built-in-single-oven-hbs534bs0b.html,2268,1,0,
HBG6764S6B,hbg6764s6b,Bosch Series 8 Built-in Single Oven | HBG6764S6B (€100 Cashback),https://www.expert.ie/products/home-appliances/cooking/double-build-in-oven/bosch-series-8-built-in-single-oven-hbg6764s6b,1458,53976,hbg6764s6b,Bosch Stainless Steel Oven | HBG6764S6B,https://www.harveynorman.ie/home-appliances/cooking-appliances/ovens/bosch-stainless-steel-oven-hbg6764s6b.html,2268,1,1,
